,only_model1_correct,only_model2_correct,both_correct,union_accuracy,complementarity_score
LSTM + Transformer,638.0,759.0,4073.0,0.5409414556962026,0.13815268987341772
LSTM + NVIDIA_Nemo,2422.0,1026.0,2289.0,0.5673457278481012,0.34098101265822783
LSTM + NVIDIA_Small,1644.0,1415.0,3067.0,0.6058148734177216,0.3025118670886076
Transformer + NVIDIA_Nemo,2483.0,966.0,2349.0,0.573378164556962,0.34107990506329117
Transformer + NVIDIA_Small,1651.0,1301.0,3181.0,0.6065071202531646,0.29193037974683544
NVIDIA_Nemo + NVIDIA_Small,759.0,1926.0,2556.0,0.5182950949367089,0.2655261075949367
